Nombre real / Agrupacion,Nacimiento,Ocupación,alias,Género(s),Instrumento(s),Período de actividad,Sitio Web,Discografia,Sencillos,Sexo,tipo,titulo_canal,id_canal,fecha,id_video_canal,titulo_video,descripcion,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1976 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2017-03-09T00:51:06.000Z,G4bPF7Dewcg,Cantan Los Gemelitos de Gerardo Moran,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1977 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2017-01-25T19:24:24.000Z,MCszMbv_H78,HEREDIA ft GERARDO MORAN-Brindemos Por Ella,Videoclip del tema Brindemos Por Ella de HEREDIA con la colaboracion de GERARDO MORAN. Presentado por VALMIO CD 2017,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-04-17T17:09:40.000Z,fqqbVceNky4,Soy Valiente (Video Oficial),He venido a Manabí muchas veces en el último año y he logrado reconectarme con mi parte manaba, campesina. soñadora. humilde valiente.  El terremoto del 16 de abril. nos enseñó que somos invencibles cuando luchamos juntos. Este video es una muestra del amor sincero que ha nacido unos por otros y es para mi familia. para Manabí y para mi Ecuador #soyValiente y creo que todos lo somos. Fausto Miño
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-03-29T06:37:41.000Z,pebOqobWNJo,Soy Valiente - Fausto Miño (Video Lírico),"Esta canción. es mi mejor regalo para Manabí. la provincia de mi madre y la mitad de mi herencia. Tierra de hombres y mujeres extraordinarios que combinan su dulzura con una garra particular. Gracias Fernando Viteri y Sergio Sacoto por empujar para que a ""Soy Valiente"" la conozca todo el Ecuador y más allá.  Esta canción nació para recordarnos que el Ecuador poderoso es aquel que trabaja UNIDO como cuando ayudamos a Manabí a levantarse. Que nada logre dividirnos.",NULL
DANIEL BETANCOURT,Ambato. Ecuador,Cantante. Compositor. Actor,El Viejo Napo,Pop. Pop rock. Romántica,NULL,2006 – Presente,http://faustomino.com,2006: SerraCosteño 2007: Yo soy 2011: Solitario Corazón,NULL,Masculino,upload,Daniel Betancourth,UCS2U5xYFuTTcrtxo1tVa6PA,2017-04-18T20:44:49.000Z,lOLmd7YzX-0,Daniel Beta - Uno (Salsa Remix),Compuesta por Daniel Beta y Jorge Luis Bohórquez  www.danielbeta.com www.facebook.com/DanielBetaOficial https://twitter.com/SoyDanielBeta https://www.instagram.com/danielbeta/  BORKIS MUSIC ENTERTAINMENT  GUAYAQUIL-ECUADOR 2017  TODOS LOS DERECHOS RESERVADOS,NULL
DANIEL BETANCOURT,Ambato. Ecuador,Cantante. Compositor. Actor,El Viejo Napo,Pop. Pop rock. Romántica,NULL,2007 – Presente,http://faustomino.com,2006: SerraCosteño 2007: Yo soy 2011: Solitario Corazón,NULL,Masculino,upload,Daniel Betancourth,UCS2U5xYFuTTcrtxo1tVa6PA,2017-02-03T15:25:47.000Z,y9ClsTB68Sw,Daniel Beta - Uno,Compuesta por Daniel Beta y Jorge Luis Bohórquez  www.danielbeta.com www.facebook.com/DanielBetaOficial https://twitter.com/SoyDanielBeta https://www.instagram.com/danielbeta/  BORKIS MUSIC ENTERTAINMENT  GUAYAQUIL-ECUADOR 2017  TODOS LOS DERECHOS RESERVADOS,NULL
