autor,pintura,año,tipo,dimension,url,http://dbpedia.org/ontology/thumbnail
Eduardo X. Arroyo,Tiempos de la Tierra,1995,aguada,10x25cm,https://www.pinterest.es/pin/602215781397696767,https://i.pinimg.com/originals/77/5c/e7/775ce7ea31033fc4e044d72e6a0f14ea.jpg
Eduardo X. Arroyo,Anocheciendo en Mindo,1995,Acuarela y tinta,75x105cm,https://www.pinterest.es/pin/602215781397677506/,https://i.pinimg.com/originals/66/73/15/667315774316ed5880dc31f80c6fa27a.jpg
Eduardo X. Arroyo,Una gota de silencio,1996,Acuarela,74x104cm,https://www.pinterest.es/pin/602215781397696788,https://i.pinimg.com/originals/87/4b/35/874b35db93eaac1f75faddac88a0f14f.jpg
Eduardo X. Arroyo,Marina,1996,Acuarela,104x75cm,https://www.pinterest.es/pin/602215781397678640,https://i.pinimg.com/originals/a8/38/bc/a838bcde17f3f84bb137af972de2ca75.jpg
Eduardo X. Arroyo,Amanecer I,1997,Acuarela,20.5x79cm,https://www.pinterest.es/pin/602215781397677482/,https://i.pinimg.com/originals/e3/61/ec/e361ec36b361de7b810f0e4dc1d9dbf2.jpg
Eduardo X. Arroyo,Requiem por Galápagos,1996,Acuarela,46x60cm,https://www.pinterest.es/pin/602215781397696701/,https://i.pinimg.com/originals/01/91/c5/0191c527234925cb4081a79b7ecba79e.jpg
Eduardo X. Arroyo,Hadramaut (Montaña de incienso),1997,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397678252,https://i.pinimg.com/originals/f8/64/17/f864173496fa5bc770296c382278647f.jpg
Eduardo X. Arroyo,Shantiniketan,1997,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397696718,https://i.pinimg.com/originals/4d/c2/f0/4dc2f0a17beee0323d4a9f3a2228e806.jpg
Eduardo X. Arroyo,Voces del dolor,1997,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397696815,https://i.pinimg.com/originals/03/5f/b0/035fb00b17e669024aaa7b6add992aa3.jpg
Eduardo X. Arroyo,Manantial,1997,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397678567,https://i.pinimg.com/originals/68/8d/cd/688dcd004cade97490abb726d649621b.jpg
Eduardo X. Arroyo,Shaman,2000,Acuarela,105x75cm,https://www.pinterest.es/pin/602215781397696710,https://i.pinimg.com/originals/bd/55/63/bd55638c07080b0a5c6eff9417a3ba0e.jpg
Eduardo X. Arroyo,Homenaje a Su Dungpo (Su Shi),1998,Tinta con palitos,63x82cm,https://www.pinterest.es/pin/602215781397678267,https://i.pinimg.com/originals/4f/59/20/4f592025d6cc22c14f2e1e774cabcce9.jpg
